product_id,product_name,aliases,unit,price
CL001,صابون سائل لليدين كبير 2 لتر,صابون سايل كبير|صابون ايد كبير|صابونة سايلة كبيره,قطعة,45.00
CL002,صابون سائل لليدين صغير 500 مل,صابون سايل صغير|صابون ايد صغير|صابونة سايلة صغيره,قطعة,18.00
CL003,صابون بودرة غسيل 5 كيلو,صابون بودره|مسحوق غسيل|بودرة غسيل|بودره غسيل,كيس,85.00
CL004,كلور مركز 4 لتر,كلوركس مركز|كلور كبير|كلوروكس مركز,جركن,35.00
CL005,كلور عادي 1 لتر,كلوركس عادي|كلور صغير|كلوركس صغير,قطعة,12.00
CL006,ديتول مطهر كبير 1 لتر,ديتول كبير|مطهر ديتول كبير|ديتول لتر,قطعة,95.00
CL007,ديتول مطهر صغير 250 مل,ديتول صغير|مطهر ديتول صغير,قطعة,35.00
CL008,فلاش منظف أرضيات لافندر 1.5 لتر,فلاش لافندر|منظف ارضيات بنفسجي|فلاش موف|فلاش بنفسجي,قطعة,28.00
CL009,فلاش منظف أرضيات صنوبر 1.5 لتر,فلاش صنوبر|منظف ارضيات اخضر|فلاش اخضر|فلاش سنوبر,قطعة,28.00
CL010,فلاش منظف أرضيات ليمون 1.5 لتر,فلاش ليمون|فلاش اصفر|منظف ارضيات ليمون,قطعة,28.00
CL011,بريل سائل أطباق كبير 1 لتر,بريل كبير|سائل مواعين كبير|صابون مواعين كبير|بريل لتر,قطعة,32.00
CL012,بريل سائل أطباق صغير 350 مل,بريل صغير|سائل مواعين صغير|صابون مواعين صغير,قطعة,15.00
CL013,فيري سائل أطباق 750 مل,فيرى|fairy|سائل اطباق فيري|فيري اطباق,قطعة,42.00
CL014,سلك مواعين ستيل,سلكة ستيل|سلك ستانلس|سلك حديد|سلكه ستيل,قطعة,5.00
CL015,سلك مواعين نحاس,سلكة نحاس|سلك اصفر|سلكه نحاس,قطعة,4.00
CL016,اسفنجة مواعين مزدوجة,سفنجة مواعين|اسفنجه|سفنجه|اسفنج مواعين|سفنج,قطعة,3.00
CL017,مناديل مبللة 80 منديل,مناديل مبلله|وايبس|مناديل رطبة|مناديل رطبه|منديل مبلل,باكو,25.00
CL018,فوط مطبخ ورقية رول كبير,فوط ورقية|مناديل مطبخ|رول مطبخ|كلينكس مطبخ|فوط ورق,رول,18.00
CL019,أكياس قمامة كبيرة 90×120,اكياس زباله كبيره|شنط زباله كبير|اكياس زبالة كبيرة|شنط زبالة كبيره,رول,22.00
CL020,أكياس قمامة صغيرة 50×70,اكياس زباله صغيره|شنط زباله صغير|اكياس زبالة صغيرة,رول,12.00
CL021,أكياس قمامة متوسطة 70×90,اكياس زباله متوسطه|شنط زباله وسط|اكياس زبالة متوسطة,رول,17.00
CL022,معطر جو بخاخ لافندر 300 مل,سبراي معطر|بخاخ ريحة|ايرفريشنر|معطر بخاخ,قطعة,35.00
CL023,معطر جو أوتوماتيك,ريفيل معطر|معطر اوتوماتيك|جهاز معطر,قطعة,55.00
CL024,مبيد حشري بخاخ 400 مل,بيجون|رش حشرات|سبراي حشرات|بخاخ حشرات,قطعة,38.00
CL025,جوانتي لاتكس وسط,جوانتى|قفازات|جلف|جوانتي وسط|جوانتى وسط,باكو,15.00
PK001,أكياس سودا شفافة 50×70,اكياس سودا 50 في 70|شنط سودا صغيره|اكياس نايلون 50×70|سودا 50 في 70,كرتونة,120.00
PK002,أكياس سودا شفافة 70×100,اكياس سودا 70 في 100|شنط سودا كبيره|اكياس نايلون 70×100|سودا 70 في 100,كرتونة,180.00
PK003,أكياس سودا شفافة 40×50,اكياس سودا 40 في 50|شنط سودا اصغر|اكياس نايلون 40×50|سودا 40 في 50,كرتونة,85.00
PK004,استرتش رول كبير 50 سم,استرتش كبير|لفة استرتش كبيره|استريتش كبير|استرتش 50 سم,رول,75.00
PK005,استرتش رول صغير 30 سم,استرتش صغير|لفة استرتش صغيره|استريتش صغير|استرتش 30 سم,رول,45.00
PK006,شريط لاصق عريض شفاف,سلوتيب عريض شفاف|لزق عريض شفاف|تيب شفاف كبير|سلوتيب كبير شفاف,قطعة,12.00
PK007,شريط لاصق عريض بني,سلوتيب عريض بنى|لزق عريض بني|تيب بني كبير|سلوتيب كبير بنى,قطعة,10.00
PK008,شريط لاصق رفيع شفاف,سلوتيب رفيع|لزق رفيع|تيب صغير شفاف|سلوتيب صغير,قطعة,5.00
PK009,فويل ألومنيوم كبير 45 سم,ورق فويل كبير|فويل كبير|المنيوم كبير|الومنيوم كبير,رول,25.00
PK010,فويل ألومنيوم صغير 30 سم,ورق فويل صغير|فويل صغير|المنيوم صغير|الومنيوم صغير,رول,15.00
