product_id,product_name,aliases,unit,price
CC001,صابون سائل للأطباق برائحة الليمون ماركة الراعي 500 مل,صابون سائل ليمون الراعي 500 مل|صابون مواعين الراعي 500 مل,زجاجة,15.00
CC002,صابون سائل للأطباق برائحة الليمون ماركة الراعي 1 لتر,صابون سائل ليمون الراعي 1 لتر|صابون مواعين الراعي 1 لتر,زجاجة,40.00
CC003,صابون سائل للأطباق برائحة الليمون ماركة الراعي 3 لتر,صابون سائل ليمون الراعي 3 لتر|صابون مواعين الراعي 3 لتر,جركن,65.00
CC004,صابون سائل للأطباق برائحة الليمون ماركة الراعي 5 لتر,صابون سائل ليمون الراعي 5 لتر|صابون مواعين الراعي 5 لتر,جركن,90.00
CC005,صابون سائل للأطباق برائحة الليمون ماركة الراعي 20 لتر,صابون سائل ليمون الراعي 20 لتر|صابون مواعين الراعي 20 لتر,جركن,115.00
CC006,منظف أرضيات ومعطر برائحة اللافندر 1.5 لتر العمدة,منظف ارضيات لافندر 1.5 لتر|معطر ارضيات بنفسجي,قطعة,32.00
CC007,منظف أرضيات ومعطر برائحة الصنوبر 1.5 لتر العمدة,منظف ارضيات صنوبر 1.5 لتر|معطر ارضيات أخضر,قطعة,32.00
CC008,منظف أرضيات ومعطر برائحة الورد 1.5 لتر العمدة,منظف ارضيات ورد 1.5 لتر|معطر ارضيات أحمر,قطعة,32.00
CC009,منظف أرضيات ومعطر برائحة الفل 1.5 لتر العمدة,منظف ارضيات فل 1.5 لتر|معطر ارضيات أبيض,قطعة,32.00
CC010,منظف أرضيات ومعطر برائحة الليمون 1.5 لتر العمدة,منظف ارضيات ليمون 1.5 لتر|معطر ارضيات أصفر,قطعة,32.00
CC011,منظف أرضيات ومعطر برائحة النعناع 1.5 لتر العمدة,منظف ارضيات نعناع 1.5 لتر|معطر ارضيات أخضر,قطعة,32.00
CC012,كلور مبيض للغسيل والأسطح عادي 5% 1 لتر النيل,كلور النيل عادي 5% 1 لتر|كلور مبيض 1 لتر,قطعة,12.00
CC013,كلور مبيض للغسيل والأسطح عادي 5% 4 لتر النيل,كلور النيل عادي 5% 4 لتر|كلور مبيض 4 لتر,جركن,30.00
CC014,كلور مبيض للغسيل والأسطح مركز 12% 1 لتر النيل,كلور النيل مركز 12% 1 لتر|كلور مبيض 1 لتر,قطعة,48.00
CC015,كلور مبيض للغسيل والأسطح مركز 12% 4 لتر النيل,كلور النيل مركز 12% 4 لتر|كلور مبيض 4 لتر,جركن,66.00
CC016,مطهر ومعقم صنوبر مضاد للبكتيريا 250 مل الزهراء,مطهر الزهراء 250 مل|معقم ارضيات صنوبر 250 مل,جركن,28.00
CC017,مطهر ومعقم صنوبر مضاد للبكتيريا 500 مل الزهراء,مطهر الزهراء 500 مل|معقم ارضيات صنوبر 500 مل,جركن,63.00
CC018,مطهر ومعقم صنوبر مضاد للبكتيريا 1 لتر الزهراء,مطهر الزهراء 1 لتر|معقم ارضيات صنوبر 1 لتر,قطعة,98.00
CC019,مطهر ومعقم صنوبر مضاد للبكتيريا 5 لتر الزهراء,مطهر الزهراء 5 لتر|معقم ارضيات صنوبر 5 لتر,جركن,133.00
CC020,ملمع ومُنظف زجاج ملمع بخاخ زرقاء أصلية 700 مل الروضة,ملمع زجاج الروضة زرقاء أصلية|بخاخ زجاج 700 مل,قطعة,22.00
CC021,ملمع ومُنظف زجاج ملمع بخاخ برائحة الليمون 700 مل الروضة,ملمع زجاج الروضة برائحة الليمون|بخاخ زجاج 700 مل,قطعة,22.00
CC022,ملمع ومُنظف زجاج ملمع بخاخ برائحة التفاح 700 مل الروضة,ملمع زجاج الروضة برائحة التفاح|بخاخ زجاج 700 مل,قطعة,22.00
CC023,ملمع خشب وأثاث سبراي برائحة العود 300 مل,ملمع خشب برائحة العود|سبراي اثاث 300 مل,قطعة,38.00
CC024,ملمع خشب وأثاث سبراي برائحة البرتقال 300 مل,ملمع خشب برائحة البرتقال|سبراي اثاث 300 مل,قطعة,38.00
CC025,ملمع خشب وأثاث سبراي برائحة الصنوبر 300 مل,ملمع خشب برائحة الصنوبر|سبراي اثاث 300 مل,قطعة,38.00
